"content_title","old_url","image_type","old_image_url","attachment_id","local_source","new_path","match_method","confidence","duplicate_count","status","notes"
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2023/10/Solar-Batteries.png","7835","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\10\Solar-Batteries.png","/assets/site-images/product/Solar-Batteries.png","exact local upload","exact","2","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2024/01/ht-panels-415w.webp","5425","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\01\ht-panels-415w.webp","/assets/site-images/product/ht-panels-415w.webp","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2023/07/Trina-solar.webp","3062","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\07\Trina-solar.webp","/assets/site-images/product/Trina-solar.webp","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2023/07/Jinko.webp","3039","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\07\Jinko.webp","/assets/site-images/product/Jinko.webp","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2024/09/inverter-brand-4.jpg","9707","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\09\inverter-brand-4.jpg","/assets/site-images/product/inverter-brand-4.jpg","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2024/01/fronius-inverter.webp","5091","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\01\fronius-inverter.webp","/assets/site-images/product/fronius-inverter.webp","exact local upload","exact","1","replaced",""
"Battery Storage","/battery-storage/","hero","https://esteemenergy.com.au/wp-content/uploads/2023/10/Solar-Batteries.png","7835","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\10\Solar-Batteries.png","/assets/site-images/product/Solar-Batteries.png","exact local upload","exact","2","replaced",""
"Installation","/installation/","hero","https://esteemenergy.com.au/wp-content/uploads/2025/01/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","11291","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2025\01\The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","/assets/site-images/installation/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-cabramatta-new-south-wales.jpg","3607","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-cabramatta-new-south-wales.jpg","/assets/site-images/gallery/Best-Solar-Installation-cabramatta-new-south-wales.jpg","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Ashby-Western-Australia.jpg","3595","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Ashby-Western-Australia.jpg","/assets/site-images/gallery/Best-Solar-Installation-Ashby-Western-Australia.jpg","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Blacktown-NSW.jpg","3597","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Blacktown-NSW.jpg","/assets/site-images/gallery/Best-Solar-Installation-Blacktown-NSW.jpg","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Blacktown-new-south-wales.jpg","3596","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Blacktown-new-south-wales.jpg","/assets/site-images/gallery/Best-Solar-Installation-Blacktown-new-south-wales.jpg","exact local upload","exact","1","replaced",""
"Homepage","/","hero","","","","","temporary/relevance fallback","uncertain",,"review","Original old-site hero not yet confirmed; retained current image"
"Contact Us","/contact-us/","hero","","","","/assests/about/solar-consultation-support.webp","temporary/relevance fallback","uncertain","1","review","Original old-site hero not yet confirmed; retained current local image"
"Pricing","/pricing/","hero","","","","../assests/about/modern-home-solar-panels.webp","temporary/relevance fallback","uncertain","1","review","No exact old-site image confirmed; retained current image"
"Will Trees Affect Solar Panels?","/will-trees-affect-solar-panels/","featured","","","residential-solar-panel.png","/assets/blog/will-trees-affect-solar-panels/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Why Solar Panels Are Not Worth It: Exploring the Truth Behind the Investment","/why-solar-panels-are-not-worth-it/","featured","","","Cost-Savings-on-Energy-Bills.png","/assets/blog/why-solar-panels-are-not-worth-it/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Why Should We Choose a Fronius Inverter?","/why-choose-fronius-inverter/","featured","","","fronius-inverter.webp","/assets/blog/why-choose-fronius-inverter/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Why Are Solar Panels Good","/why-are-solar-panels-good/","featured","","","previous verified match","/assets/blog/why-are-solar-panels-good/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"Who Invented Solar Panels","/who-invented-solar-panels/","featured","","","residential-solar-panel.png","/assets/blog-images/who-invented-solar-panels/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Which Direction is Best For Solar Panels?","/which-direction-best-solar-panels/","featured","","","previous verified match","/assets/blog/which-direction-best-solar-panels/featured.png","exact local upload","exact","1","review","Needs original confirmation"
"What Size Solar System Do I Need","/what-size-solar-system-do-i-need/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/what-size-solar-system-do-i-need/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"what size battery for a 10kw system","/what-size-battery-for-a-10kw-system/","featured","","","previous verified match","/assets/blog/what-size-battery-for-a-10kw-system/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"What Size Battery Do I Need for a 6.6 kW Solar System? A Complete Guide to Solar Battery Capacity &amp; Energy Storage Sizing","/what-size-battery-do-i-need-for-a-6-6kw-solar-system/","featured","","","Solar-Panel-Battery.webp","/assets/blog/what-size-battery-do-i-need-for-a-6-6kw-solar-system/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"What Is The Solar Rebate In Australia?","/what-is-the-solar-rebate-in-australia/","featured","","","Solar-Panel-Rebates.png","/assets/blog-images/what-is-the-solar-rebate-in-australia/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"All About Electric Vehicles","/all-about-electric-vehicles/","featured","","","Electric-Vehicles.png","/assets/blog-images/all-about-electric-vehicles/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Unlocking the Full Potential of Solar: Advantages of Solar System Installed in Three-Phase Power","/advantages-of-solar-system-installed-in-three-phase-power/","featured","","","Solar-Panel-installation.png","/assets/blog/advantages-of-solar-system-installed-in-three-phase-power/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Advantages Of Solar Energy","/advantages-of-solar-energy/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog-images/advantages-of-solar-energy/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"8kW Solar System Price: Cost, Benefits, and Savings Potential","/8-kw-solar-panel-system/","featured","","","previous verified match","/assets/blog/8-kw-solar-panel-system/featured.png","exact local upload","exact","1","review","Needs original confirmation"
"Understanding the 6kW Solar Battery Cost in Australia: What You Need to Know in 2025","/6kw-solar-battery-cost-in-australia/","featured","","","Solar-Panel-Battery.webp","/assets/blog/6kw-solar-battery-cost-in-australia/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"6kW Solar Battery Cost: Everything You Need to Know in 2025","/6kw-solar-battery-cost/","featured","","","Solar-Panel-Battery.webp","/assets/blog/6kw-solar-battery-cost/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"What Is Solar Feed-In Tariff","/what-is-solar-feed-in-tariff/","featured","","","previous verified match","/assets/blog-images/what-is-solar-feed-in-tariff/featured.jpg","exact local upload","exact","1","review","Replaced/local match"
"6.6kW vs 10kW solar system","/6-6kw-vs-10kw-solar-system/","featured","","","5-kw-Solar-System.png","/assets/blog/6-6kw-vs-10kw-solar-system/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"6.6kW Solar System with 5kW Inverter Price: Is It the Smartest Solar Investment for Your Home?","/6-6kw-solar-system-with-5kw-inverter-price/","featured","","","Inverters-Convert-The-Energy-To-Electricity.png","/assets/blog/6-6kw-solar-system-with-5kw-inverter-price/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"What Is Solar Energy","/what-is-solar-energy/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog-images/what-is-solar-energy/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"6.6kW solar system price NSW","/6-6kw-solar-system-price-nsw/","featured","","","5-kw-Solar-System.png","/assets/blog-images/6-6kw-solar-system-price-nsw/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"What is a Hybrid Inverter? A Complete Guide to Smarter Solar Power","/what-is-a-hybrid-inverter/","featured","","","Inverters-Convert-The-Energy-To-Electricity.png","/assets/blog/what-is-a-hybrid-inverter/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"6.6kW Solar System Price Adelaide: Cost, Rebates &amp; Best Solar Deals in 2025","/6-6kw-solar-system-price-adelaide/","featured","","","Solar-Panel-Rebates.png","/assets/blog/6-6kw-solar-system-price-adelaide/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"What is A 6.6 kW Solar System?","/what-is-a-6-6-kw-solar-system/","featured","","","5-kw-Solar-System.png","/assets/blog-images/what-is-a-6-6-kw-solar-system/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"How Much Power Does a 6.6 kW Solar System Produce? A Complete Guide to Solar Energy Output in Australia","/6-6-kw-solar-system-power-output/","featured","","","5-kw-Solar-System.png","/assets/blog/6-6-kw-solar-system-power-output/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"what is a 10kw solar system","/what-is-a-10kw-solar-system/","featured","","","previous verified match","/assets/blog/what-is-a-10kw-solar-system/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"How Much Does a 6.6kW Solar System Cost in Australia?","/6-6-kw-solar-system-cost-australia/","featured","","","5-kw-Solar-System.png","/assets/blog/6-6-kw-solar-system-cost-australia/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"What Are the Best Solar Panels in Australia? A Complete 2025 Guide","/what-are-the-best-solar-panels-in-australia/","featured","","","residential-solar-panel.png","/assets/blog-images/what-are-the-best-solar-panels-in-australia/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"5kW Solar System Battery Backup: The Ultimate Guide to Energy Independence","/5kw-solar-system-battery-backup/","featured","","","Battery-Backup-is-Valuable-Feature.png","/assets/blog/5kw-solar-system-battery-backup/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"5kW Solar Inverter Price Australia","/5kw-solar-inverter-price-australia/","featured","","","Inverters-Convert-The-Energy-To-Electricity.png","/assets/blog/5kw-solar-inverter-price-australia/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"What Are The Best Solar Panels","/what-are-the-best-solar-panels/","featured","","","previous verified match","/assets/blog/what-are-the-best-solar-panels/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"What Are Solar Panel Batteries and What Are They Used For?","/what-are-solar-panel-batteries-and-what-are-they-used-for/","featured","","","Solar-Panel-Battery.webp","/assets/blog/what-are-solar-panel-batteries-and-what-are-they-used-for/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"How to Save Energy and Reduce Your Electricity Bill: Effective Tips and Solutions","/ways-to-save-energy-consumption/","featured","","","previous verified match","/assets/blog/ways-to-save-energy-consumption/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"5kw solar battery price","/5kw-solar-battery-price/","featured","","","previous verified match","/assets/blog-images/5kw-solar-battery-price/featured.webp","exact local upload","exact","1","review","Replaced/local match"
"5kw off-grid solar system","/5kw-off-grid-solar-system/","featured","","","previous verified match","/assets/blog/5kw-off-grid-solar-system/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"Unlocking the Benefits of a 6.6kW Solar System in Australia: Your Path to Energy Savings and Sustainability","/unlocking-the-benefits-of-a-6-6kw-solar-system-in-australia-your-path-to-energy-savings-and-sustainability-2/","featured","","","5-kw-Solar-System.png","/assets/blog/unlocking-the-benefits-of-a-6-6kw-solar-system-in-australia-your-path-to-energy-savings-and-sustainability-2/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"All About 5 kw Solar System Output, Cost and Roi","/5-kw-solar-system/","featured","","","5-kw-Solar-System.png","/assets/blog-images/5-kw-solar-system/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"13.2kW Solar System Price in Australia: Complete Cost Breakdown, Benefits &amp; Payback (2025 Guide)","/13-2kw-solar-system-price/","featured","","","Cost-Savings-on-Energy-Bills.png","/assets/blog/13-2kw-solar-system-price/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Unlocking the Benefits of a 6.6kW Solar System in Australia: Your Path to Energy Savings and Sustainability","/unlocking-the-benefits-of-a-6-6kw-solar-system-in-australia-your-path-to-energy-savings-and-sustainability/","featured","","","5-kw-Solar-System.png","/assets/blog/unlocking-the-benefits-of-a-6-6kw-solar-system-in-australia-your-path-to-energy-savings-and-sustainability/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"10kW vs 13kW solar system","/10kw-vs-13kw-solar-system/","featured","","","5-kw-Solar-System.png","/assets/blog/10kw-vs-13kw-solar-system/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Types Of Solar Panels","/types-of-solar-panels/","featured","","","residential-solar-panel.png","/assets/blog-images/types-of-solar-panels/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"10kW Solar System With Battery Price in Australia (2025 Guide)","/10kw-solar-system-with-battery-price/","featured","","","Solar-Panel-Battery.webp","/assets/blog/10kw-solar-system-with-battery-price/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"trina solar panels vs jinko","/trina-solar-panels-vs-jinko/","featured","","","previous verified match","/assets/blog/trina-solar-panels-vs-jinko/featured.avif","exact local upload","exact","1","review","Needs original confirmation"
"10kW Solar System Price","/10kw-solar-system-price/","featured","","","5-kw-Solar-System.png","/assets/blog-images/10kw-solar-system-price/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"10kW Solar System Cost: A Complete Guide to Pricing, Savings, and Installation","/10kw-solar-system-cost/","featured","","","Solar-Panel-installation.png","/assets/blog/10kw-solar-system-cost/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Trina Solar Panels Review","/trina-solar-panels-review/","featured","","","previous verified match","/assets/blog/trina-solar-panels-review/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"10kW Solar Inverter","/10kw-solar-inverter/","featured","","","Inverters-Convert-The-Energy-To-Electricity.png","/assets/blog-images/10kw-solar-inverter/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"10kw Solar Battery Price","/10kw-solar-battery-price/","featured","","","Solar-Panel-Battery.webp","/assets/blog-images/10kw-solar-battery-price/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Monitor Your Solar System","/tracking-solar-system-home-energy-management-system/","featured","","","previous verified match","/assets/blog/tracking-solar-system-home-energy-management-system/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"","/10998/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/10998/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"All About 10 Kw Solar Panel System: Cost, Roi and Output","/10-kw-solar-panel-system/","featured","","","5-kw-Solar-System.png","/assets/blog-images/10-kw-solar-panel-system/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Top Solar Panel Brands for 6.6 KW Systems in Australia (2025 Guide)","/top-solar-panel-brands-6-6-kw-australia/","featured","","","5-kw-Solar-System.png","/assets/blog/top-solar-panel-brands-6-6-kw-australia/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Top 10 Solar Panels In Australia","/top-10-solar-panels-in-australia/","featured","","","residential-solar-panel.png","/assets/blog-images/top-10-solar-panels-in-australia/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Top 10 Solar Inverters In Australia","/top-10-solar-inverters-in-australia/","featured","","","previous verified match","/assets/blog/top-10-solar-inverters-in-australia/featured.png","exact local upload","exact","1","review","Needs original confirmation"
"Best Solar System for Home: The Ultimate Guide to Residential Solar Solutions","/best-solar-system-for-home/","featured","","","residential-solar-panel.png","/assets/blog/best-solar-system-for-home/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Panels Sydney (2025 Comprehensive Guide)","/best-solar-panels-sydney/","featured","","","residential-solar-panel.png","/assets/blog/best-solar-panels-sydney/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Panels Australia 2025: Expert Comparison, Prices &amp; Buying Guide","/best-solar-panels-in-australia/","featured","","","Cost-Savings-on-Energy-Bills.png","/assets/blog/best-solar-panels-in-australia/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Panels Australia","/best-solar-panels-australia/","featured","","","previous verified match","/assets/blog/best-solar-panels-australia/featured.webp","exact local upload","exact","1","review","Needs original confirmation"
"Best Solar Panels Australia","/best-solar-panels/","featured","","","residential-solar-panel.png","/assets/blog-images/best-solar-panels/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Best Solar Installer Brisbane: Top 7 Certified Companies for 2025","/best-solar-installer-brisbane/","featured","","","Solar-Panel-installation.png","/assets/blog/best-solar-installer-brisbane/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Feed-In Tariff Nsw","/best-solar-feed-in-tariff-nsw/","featured","","","What-Is-Solar-Feed-In-Tariff.jpg","/assets/blog-images/best-solar-feed-in-tariff-nsw/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Best Solar Feed-in Tariff Brisbane: Maximize Your Solar Savings","/best-solar-feed-in-tariff-brisbane/","featured","","","What-Is-Solar-Feed-In-Tariff.jpg","/assets/blog/best-solar-feed-in-tariff-brisbane/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Company in WA","/best-solar-company-wa/","featured","","","previous verified match","/assets/blog/best-solar-company-wa/featured.png","exact local upload","exact","1","review","Needs original confirmation"
"Best Solar Companies NSW, Australia","/best-solar-companies-nsw-australia/","featured","","","previous verified match","/assets/blog/best-solar-companies-nsw-australia/featured.webp","exact local upload","exact","1","review","Needs original confirmation"
"Top 10 Solar Companies in Australia for 2025","/best-solar-companies-in-australia/","featured","","","previous verified match","/assets/blog/best-solar-companies-in-australia/featured.webp","exact local upload","exact","1","review","Needs original confirmation"
"Top 10 Solar Companies in Sydney (2025 Edition)","/top-10-solar-companies-in-sydney/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/top-10-solar-companies-in-sydney/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Battery Storage 2026: Complete Guide to the Top Home Battery Systems","/best-solar-battery-storage-2026/","featured","","","previous verified match","/assets/blog/best-solar-battery-storage-2026/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"Top 10 Solar Companies In Perth","/top-10-solar-companies-in-perth/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/top-10-solar-companies-in-perth/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Battery In Australia","/best-solar-battery-in-australia/","featured","","","Solar-Panel-Battery.webp","/assets/blog-images/best-solar-battery-in-australia/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"Top 10 solar Companies In Australia","/top-10-solar-companies-in-australia/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/top-10-solar-companies-in-australia/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best Solar Batteries Australia: 2025 Expert Guide to Top Energy Storage Systems","/best-solar-batteries-australia/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/best-solar-batteries-australia/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Tindo Solar Reviews","/tindo-solar-reviews/","featured","","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/tindo-solar-reviews/featured.jpg","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"The Best Quality Solar Panels in Australia: A Comprehensive Guide for 2025","/best-quality-solar-panels-in-australia/","featured","","","residential-solar-panel.png","/assets/blog-images/best-quality-solar-panels-in-australia/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Replaced/local match"
"best inverter for 10kw solar system","/best-inverter-for-10kw-solar-system/","featured","","","previous verified match","/assets/blog/best-inverter-for-10kw-solar-system/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"best home batteries australia","/best-home-batteries-australia/","featured","","","previous verified match","/assets/blog/best-home-batteries-australia/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
"Best Angle for Solar Panels: A Comprehensive Guide to Optimizing Solar Efficiency","/best-angle-for-solar-panels/","featured","","","Solar-Panel-Temperature-Coefficient.png","/assets/blog/best-angle-for-solar-panels/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Best 10kW Solar Battery Price in Australia (2025 Guide)","/best-10kw-solar-battery-price-australia/","featured","","","Solar-Panel-Battery.webp","/assets/blog/best-10kw-solar-battery-price-australia/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
